OE0013,Stno,XStno,Chipno1,Chipno2,Chipno3,Chipno4,Chipno5,Chipno6,Database Id,Surname,First name,YB,S,Block1,Block2,Block3,Block4,Block5,Block6,E1,E2,E3,E4,E5,E6,nc1,Start1,Finish1,Time1,Classifier1,Credit -1,Penalty +1,Comment1,nc2,Start2,Finish2,Time2,Classifier2,Credit -2,Penalty +2,Comment2,nc3,Start3,Finish3,Time3,Classifier3,Credit -3,Penalty +3,Comment3,nc4,Start4,Finish4,Time4,Classifier4,Credit -4,Penalty +4,Comment4,nc5,Start5,Finish5,Time5,Classifier5,Credit -5,Penalty +5,Comment5,nc6,Start6,Finish6,Time6,Classifier6,Credit -6,Penalty +6,Comment6,Club no.,Cl.name,City,Nat,Location,Region,Cl. no.,Short,Long,Entry cl. No,Entry class (short),Entry class (long),Rank,Ranking points,Num1,Num2,Num3,Text1,Text2,Text3,Addr. surname,Addr. first name,Street,Line2,Zip,Addr. city,Phone,Mobile,Fax,EMail,Rented,Start fee,Paid,Team,Place1,Place2,Place3,Place4,Place5,Place6,Total,Place
,119,,2033284,2033284,,,,,119,Doe_119,Kayla,2001,F,,,,,,,X,X,0,0,0,0,0,12:51:13,13:27:27,36:14,0,,,,0,9:09:12,9:53:15,44:03,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,728,,,,,,5,ISIF,ISIF,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,1:20:17,1
,260,,2015716,2015716,,,,,260,Doe_260,Selena,2001,F,,,,,,,X,X,0,0,0,0,0,11:03:15,12:09:37,1:06:22,0,,,,0,10:57:13,12:07:03,1:09:50,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,708,,,,,,5,ISIF,ISIF,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:16:12,2
,207,,2064537,2064537,,,,,207,Doe_207,Anna,2001,F,,,,,,,X,X,0,0,0,0,0,10:57:15,11:47:13,49:58,0,,,,0,11:03:15,12:41:38,1:38:23,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,801,,,,,,5,ISIF,ISIF,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:28:21,3
,281,,2015736,2015736,,,,,281,Doe_281,Aysia,2001,F,,,,,,,X,X,0,0,0,0,0,10:53:10,11:48:11,55:01,0,,,,0,11:07:11,12:54:26,1:47:15,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,708,,,,,,5,ISIF,ISIF,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:42:16,4
,162,,420292,420292,,,,,162,Doe_162,Cydnie,2001,F,,,,,,,X,X,0,0,0,0,0,10:27:09,11:47:20,1:20:11,0,,,,0,11:33:11,13:10:06,1:36:55,3,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,721,,,,,,5,ISIF,ISIF,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
,113,,2033281,2033281,,,,,113,Doe_113,Harold,2001,M,,,,,,,X,X,0,0,0,0,0,11:51:14,12:17:34,26:20,0,,,,0,10:09:14,10:42:10,32:56,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,728,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,59:16,1
,223,,2054179,2054179,,,,,223,Doe_223,Samuel,2004,M,,,,,,,X,X,0,0,0,0,0,12:25:11,13:08:05,42:54,0,,,,0,9:35:12,10:09:33,34:21,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,917,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,X,0,0,,,,,,,,1:17:15,2
,129,,2033283,2033283,,,,,129,Doe_129,Patrick,2001,M,,,,,,,X,X,0,0,0,0,0,12:45:15,13:19:28,34:13,0,,,,0,9:15:10,10:01:44,46:34,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,728,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,1:20:47,3
,138,,2064799,2064799,,,,,138,Doe_138,Zachary,1999,M,,,,,,,X,X,0,0,0,0,0,12:13:14,13:17:51,1:04:37,0,,,,0,9:47:10,10:27:14,40:04,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,792,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,1:44:41,4
,202,,2092192,2092192,,,,,202,Doe_202,Trevor,2001,M,,,,,,,X,X,0,0,0,0,0,11:15:10,11:54:21,39:11,0,,,,0,10:45:10,12:00:19,1:15:09,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,920,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,1:54:20,5
,201,,2089704,2089704,,,,,201,Doe_201,Nathan,2003,M,,,,,,,X,X,0,0,0,0,0,11:21:06,11:54:22,33:16,0,,,,0,10:39:08,12:00:16,1:21:08,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,920,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,1:54:24,6
,74,,2037968,2037968,,,,,74,Doe_74,Owen,2001,M,,,,,,,X,X,0,0,0,0,0,11:07:16,12:09:31,1:02:15,0,,,,0,10:53:10,12:00:45,1:07:35,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,769,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:09:50,7
,68,,2037969,2037969,,,,,68,Doe_68,Jeremy,2000,M,,,,,,,X,X,0,0,0,0,0,11:25:10,12:09:33,44:23,0,,,,0,10:35:14,12:00:47,1:25:33,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,769,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:09:56,8
,73,,2037967,2037967,,,,,73,Doe_73,Matthew,2001,M,,,,,,,X,X,0,0,0,0,0,11:13:13,12:09:30,56:17,0,,,,0,10:47:11,12:00:59,1:13:48,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,769,,,,,,7,ISIM,ISIM,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,2:10:05,9
